x,y,u
7.148438e-01,7.812500e-03,1.916049e-02
7.187500e-01,7.812500e-03,1.897086e-02
7.226562e-01,7.812500e-03,1.877838e-02
7.265625e-01,7.812500e-03,1.858307e-02
7.304688e-01,7.812500e-03,1.838496e-02
7.343750e-01,7.812500e-03,1.818408e-02
7.382812e-01,7.812500e-03,1.798046e-02
7.421875e-01,7.812500e-03,1.777414e-02
7.460938e-01,7.812500e-03,1.756513e-02
7.500000e-01,7.812500e-03,1.735349e-02
7.539062e-01,7.812500e-03,1.713923e-02
7.578125e-01,7.812500e-03,1.692238e-02
7.617188e-01,7.812500e-03,1.670299e-02
7.656250e-01,7.812500e-03,1.648109e-02
7.695312e-01,7.812500e-03,1.625670e-02
7.734375e-01,7.812500e-03,1.602986e-02
7.773438e-01,7.812500e-03,1.580061e-02
7.812500e-01,7.812500e-03,1.556899e-02
7.851562e-01,7.812500e-03,1.533501e-02
7.890625e-01,7.812500e-03,1.509873e-02
7.929688e-01,7.812500e-03,1.486017e-02
7.968750e-01,7.812500e-03,1.461938e-02
8.007812e-01,7.812500e-03,1.437638e-02
8.046875e-01,7.812500e-03,1.413122e-02
8.085938e-01,7.812500e-03,1.388393e-02
8.125000e-01,7.812500e-03,1.363455e-02
8.164062e-01,7.812500e-03,1.338311e-02
8.203125e-01,7.812500e-03,1.312966e-02
8.242188e-01,7.812500e-03,1.287424e-02
8.281250e-01,7.812500e-03,1.261687e-02
8.320312e-01,7.812500e-03,1.235761e-02
8.359375e-01,7.812500e-03,1.209648e-02
8.398438e-01,7.812500e-03,1.183353e-02
8.437500e-01,7.812500e-03,1.156880e-02
8.476562e-01,7.812500e-03,1.130233e-02
8.515625e-01,7.812500e-03,1.103415e-02
8.554688e-01,7.812500e-03,1.076432e-02
8.593750e-01,7.812500e-03,1.049286e-02
8.632812e-01,7.812500e-03,1.021982e-02
8.671875e-01,7.812500e-03,9.945244e-03
8.710938e-01,7.812500e-03,9.669170e-03
8.750000e-01,7.812500e-03,9.391639e-03
8.789062e-01,7.812500e-03,9.112694e-03
8.828125e-01,7.812500e-03,8.832377e-03
8.867188e-01,7.812500e-03,8.550729e-03
8.906250e-01,7.812500e-03,8.267794e-03
8.945312e-01,7.812500e-03,7.983614e-03
8.984375e-01,7.812500e-03,7.698232e-03
9.023438e-01,7.812500e-03,7.411690e-03
9.062500e-01,7.812500e-03,7.124032e-03
9.101562e-01,7.812500e-03,6.835301e-03
9.140625e-01,7.812500e-03,6.545541e-03
9.179688e-01,7.812500e-03,6.254795e-03
9.218750e-01,7.812500e-03,5.963107e-03
9.257812e-01,7.812500e-03,5.670521e-03
9.296875e-01,7.812500e-03,5.377081e-03
9.335938e-01,7.812500e-03,5.082831e-03
9.375000e-01,7.812500e-03,4.787816e-03
9.414062e-01,7.812500e-03,4.492080e-03
9.453125e-01,7.812500e-03,4.195667e-03
9.492188e-01,7.812500e-03,3.898623e-03
9.531250e-01,7.812500e-03,3.600991e-03
9.570312e-01,7.812500e-03,3.302817e-03
9.609375e-01,7.812500e-03,3.004146e-03
9.648438e-01,7.812500e-03,2.705022e-03
9.687500e-01,7.812500e-03,2.405491e-03
9.726562e-01,7.812500e-03,2.105598e-03
9.765625e-01,7.812500e-03,1.805387e-03
9.804688e-01,7.812500e-03,1.504905e-03
9.843750e-01,7.812500e-03,1.204196e-03
9.882812e-01,7.812500e-03,9.033058e-04
9.921875e-01,7.812500e-03,6.022795e-04
9.960938e-01,7.812500e-03,3.011624e-04
3.906250e-03,1.171875e-02,4.516869e-04
7.812500e-03,1.171875e-02,9.033058e-04
1.171875e-02,1.171875e-02,1.354789e-03
1.562500e-02,1.171875e-02,1.806067e-03
1.953125e-02,1.171875e-02,2.257074e-03
2.343750e-02,1.171875e-02,2.707741e-03
2.734375e-02,1.171875e-02,3.158000e-03
3.125000e-02,1.171875e-02,3.607784e-03
3.515625e-02,1.171875e-02,4.057024e-03
3.906250e-02,1.171875e-02,4.505653e-03
4.296875e-02,1.171875e-02,4.953604e-03
4.687500e-02,1.171875e-02,5.400809e-03
5.078125e-02,1.171875e-02,5.847200e-03
5.468750e-02,1.171875e-02,6.292711e-03
5.859375e-02,1.171875e-02,6.737274e-03
6.250000e-02,1.171875e-02,7.180823e-03
6.640625e-02,1.171875e-02,7.623290e-03
7.031250e-02,1.171875e-02,8.064609e-03
7.421875e-02,1.171875e-02,8.504714e-03
7.812500e-02,1.171875e-02,8.943538e-03
8.203125e-02,1.171875e-02,9.381015e-03
8.593750e-02,1.171875e-02,9.817079e-03
8.984375e-02,1.171875e-02,1.025167e-02
9.375000e-02,1.171875e-02,1.068471e-02
9.765625e-02,1.171875e-02,1.111614e-02
1.015625e-01,1.171875e-02,1.154590e-02
1.054688e-01,1.171875e-02,1.197392e-02
1.093750e-01,1.171875e-02,1.240014e-02
1.132812e-01,1.171875e-02,1.282448e-02
